ID1	ID2	N_SNP	HetHet	IBS0	Kinship
FIN00015-017	FIN00015-020	131233	0.0473	0.0000	0.4950
FIN00015-011	FIN00015-025	128912	0.0489	0.0000	0.4945
FIN00046-002	FIN00046-005	136688	0.0496	0.0000	0.4944
ITA00243-005	ITA00243-007	161315	0.0491	0.0000	0.4943
FIN00044-004	FIN00044-011	112207	0.0459	0.0000	0.4940
FIN00020-008	FIN00020-013	108726	0.0452	0.0000	0.4937
FIN00020-018	FIN00020-019	102068	0.0440	0.0000	0.4933
FIN00020-025	FIN00044-003	91761	0.0453	0.0000	0.4918
ESP00102-009	ESP00102-013	120969	0.0831	0.0000	0.4810
ESP00102-011	ESP00102-015	121858	0.0826	0.0000	0.4779
FIN00015-012	FIN00015-014	93833	0.0997	0.0000	0.4724
ESP00102-012	ESP00102-016	84534	0.0741	0.0000	0.4704
