ID1	ID2	N	N_IBS0	N_IBS1	N_IBS2	Concord	HomConc	HetConc
BGR00003-006	DNK00059-104	35086	1	186	34899	0.99467	0.99997	0.95364
CZE00004-004	CZE00004-005	35956	1	177	35778	0.99505	0.99997	0.96760
DEU00012-001	DEU00012-002	47919	3	217	47699	0.99541	0.99993	0.96822
DEU00012-001	DEU00012-003	44311	1	215	44095	0.99513	0.99997	0.96476
DEU00012-001	DEU00012-004	48557	3	252	48302	0.99475	0.99993	0.96377
DEU00012-001	DEU00012-005	47235	2	204	47029	0.99564	0.99995	0.96955
DEU00012-001	DEU00012-006	46558	2	268	46288	0.99420	0.99995	0.95981
DEU00012-001	DEU00012-007	44701	4	284	44413	0.99356	0.99990	0.95491
DEU00012-001	DEU00012-008	47677	1	235	47441	0.99505	0.99998	0.96550
DEU00012-001	DEU00012-009	46518	4	202	46312	0.99557	0.99990	0.96899
DEU00012-002	DEU00012-003	44620	2	228	44390	0.99485	0.99995	0.96306
DEU00012-002	DEU00012-004	49015	4	221	48790	0.99541	0.99990	0.96862
DEU00012-002	DEU00012-005	47607	3	179	47425	0.99618	0.99993	0.97357
DEU00012-002	DEU00012-006	46987	3	287	46697	0.99383	0.99993	0.95766
DEU00012-002	DEU00012-007	45030	5	246	44779	0.99443	0.99987	0.96130
DEU00012-002	DEU00012-008	48070	4	220	47846	0.99534	0.99990	0.96803
DEU00012-002	DEU00012-009	46856	5	188	46663	0.99588	0.99988	0.97139
DEU00012-003	DEU00012-004	45032	2	260	44770	0.99418	0.99995	0.95847
DEU00012-003	DEU00012-005	44240	1	247	43992	0.99439	0.99997	0.95976
DEU00012-003	DEU00012-006	43769	1	261	43507	0.99401	0.99997	0.95721
DEU00012-003	DEU00012-007	42499	3	263	42233	0.99374	0.99992	0.95523
DEU00012-003	DEU00012-008	44429	3	235	44191	0.99464	0.99992	0.96191
DEU00012-003	DEU00012-009	43692	3	219	43470	0.99492	0.99992	0.96340
DEU00012-004	DEU00012-005	48253	2	237	48014	0.99505	0.99995	0.96577
DEU00012-004	DEU00012-006	47587	3	317	47267	0.99328	0.99993	0.95404
DEU00012-004	DEU00012-007	45554	5	278	45271	0.99379	0.99987	0.95700
DEU00012-004	DEU00012-008	48760	4	261	48495	0.99457	0.99990	0.96296
DEU00012-004	DEU00012-009	47425	5	213	47207	0.99540	0.99988	0.96812
DEU00012-005	DEU00012-006	46404	2	264	46138	0.99427	0.99995	0.96041
DEU00012-005	DEU00012-007	44583	4	243	44336	0.99446	0.99990	0.96140
DEU00012-005	DEU00012-008	47361	3	203	47155	0.99565	0.99993	0.96995
DEU00012-005	DEU00012-009	46306	4	190	46112	0.99581	0.99990	0.97067
DEU00012-006	DEU00012-007	44318	4	254	44060	0.99418	0.99989	0.95974
DEU00012-006	DEU00012-008	46749	3	289	46457	0.99375	0.99993	0.95714
DEU00012-006	DEU00012-009	45719	4	261	45454	0.99420	0.99990	0.95970
DEU00012-007	DEU00012-008	44821	5	272	44544	0.99382	0.99987	0.95706
DEU00012-007	DEU00012-009	44051	5	258	43788	0.99403	0.99987	0.95806
DEU00012-008	DEU00012-009	46679	4	213	46462	0.99535	0.99990	0.96757
DNK00059-107	DNK00059-108	45913	4	264	45645	0.99416	0.99990	0.95829
DNK00059-116	DNK00059-117	49558	1	221	49336	0.99552	0.99998	0.96825
DNK00059-120	DNK00059-122	42694	3	240	42451	0.99431	0.99992	0.95812
SVN00039-004	SVN00039-005	40919	2	250	40667	0.99384	0.99994	0.95852
SVN00039-004	SVN00039-006	46125	7	266	45852	0.99408	0.99982	0.96140
SVN00039-004	SVN00039-007	41349	7	242	41100	0.99398	0.99980	0.95997
SVN00039-005	SVN00039-006	41418	4	221	41193	0.99457	0.99989	0.96379
SVN00039-005	SVN00039-007	39042	1	195	38846	0.99498	0.99997	0.96547
SVN00039-006	SVN00039-007	41956	3	212	41741	0.99488	0.99992	0.96549
SVN00039-008	SVN00039-009	32824	0	173	32651	0.99473	1.00000	0.96464
SVN00039-008	SVN00039-010	35827	5	226	35596	0.99355	0.99984	0.95792
SVN00039-008	SVN00039-011	33001	0	294	32707	0.99109	1.00000	0.94118
SVN00039-008	SVN00039-016	34338	4	207	34127	0.99386	0.99986	0.96015
SVN00039-009	SVN00039-010	36009	1	187	35821	0.99478	0.99997	0.96592
SVN00039-009	SVN00039-011	32832	0	243	32589	0.99260	1.00000	0.95129
SVN00039-009	SVN00039-016	34242	0	238	34004	0.99305	1.00000	0.95478
SVN00039-010	SVN00039-011	37820	3	262	37555	0.99299	0.99991	0.95503
SVN00039-010	SVN00039-016	41418	2	295	41121	0.99283	0.99994	0.95419
SVN00039-011	SVN00039-016	36723	0	252	36471	0.99314	1.00000	0.95570
SVN00039-012	SVN00039-013	43263	1	234	43028	0.99457	0.99997	0.96478
SVN00039-014	SVN00039-015	41554	0	210	41344	0.99495	1.00000	0.96397
SVN00039-017	SVN00039-020	44113	5	236	43872	0.99454	0.99987	0.96406
SVN00039-018	SVN00039-019	43034	4	262	42768	0.99382	0.99989	0.96098
