ID1	ID2	N_SNP	HetHet	IBS0	Kinship
ESP00069-010	ESP00069-021	44102	0.1820	0.0000	0.4975
ESP00069-002	ESP00069-012	40787	0.1706	0.0000	0.4971
ESP00069-010	ESP00069-025	43433	0.1810	0.0000	0.4971
ESP00069-010	ESP00069-020	42408	0.1805	0.0000	0.4970
ESP00069-005	ESP00069-010	42879	0.1809	0.0000	0.4969
ESP00069-007	ESP00069-012	42258	0.1731	0.0000	0.4968
ESP00069-005	ESP00069-021	42666	0.1807	0.0000	0.4967
ESP00069-005	ESP00069-025	42038	0.1803	0.0000	0.4966
ESP00069-010	ESP00069-016	42071	0.1789	0.0001	0.4966
ESP00069-016	ESP00069-020	40495	0.1783	0.0000	0.4966
AUT00079-004	AUT00079-025	43062	0.1754	0.0000	0.4965
ESP00069-005	ESP00069-016	40915	0.1788	0.0000	0.4965
ESP00069-019	ESP00069-021	42626	0.1796	0.0000	0.4965
ESP00069-003	ESP00069-019	38386	0.1758	0.0000	0.4964
ESP00069-005	ESP00069-019	41640	0.1792	0.0000	0.4964
ESP00069-005	ESP00069-020	41313	0.1797	0.0000	0.4964
ESP00069-020	ESP00069-021	42198	0.1801	0.0000	0.4963
ESP00069-002	ESP00069-007	40447	0.1714	0.0000	0.4962
ESP00069-003	ESP00069-024	37216	0.1741	0.0000	0.4962
ESP00069-010	ESP00069-019	42843	0.1794	0.0000	0.4962
ESP00069-015	ESP00069-016	38568	0.1762	0.0000	0.4962
ESP00069-016	ESP00069-024	39391	0.1757	0.0000	0.4962
ESP00069-015	ESP00069-020	39127	0.1774	0.0000	0.4961
ESP00069-015	ESP00069-025	39554	0.1771	0.0000	0.4961
ESP00069-016	ESP00069-021	41879	0.1787	0.0000	0.4961
ESP00069-016	ESP00069-025	41362	0.1788	0.0000	0.4961
ESP00069-019	ESP00069-024	39954	0.1753	0.0000	0.4961
ESP00069-021	ESP00069-025	43152	0.1807	0.0000	0.4961
ESP00069-005	ESP00069-015	39309	0.1772	0.0000	0.4960
ESP00069-010	ESP00069-015	40202	0.1777	0.0000	0.4960
ESP00069-016	ESP00069-019	40866	0.1774	0.0000	0.4960
ESP00069-021	ESP00069-024	40746	0.1764	0.0000	0.4960
ESP00069-024	ESP00069-025	40315	0.1767	0.0000	0.4960
ESP00069-003	ESP00069-004	38130	0.1757	0.0000	0.4959
ESP00069-003	ESP00069-021	39091	0.1766	0.0000	0.4959
ESP00069-008	ESP00069-012	42226	0.1717	0.0000	0.4959
ESP00069-003	ESP00069-005	38381	0.1764	0.0000	0.4958
ESP00069-003	ESP00069-010	39255	0.1761	0.0000	0.4958
ESP00069-003	ESP00069-025	38740	0.1764	0.0000	0.4958
ESP00069-004	ESP00069-010	42344	0.1792	0.0000	0.4958
ESP00069-004	ESP00069-025	41615	0.1789	0.0000	0.4958
ESP00069-019	ESP00069-025	42046	0.1790	0.0000	0.4958
ESP00069-003	ESP00069-016	38002	0.1752	0.0000	0.4957
ESP00069-004	ESP00069-019	41183	0.1779	0.0000	0.4957
ESP00069-005	ESP00069-024	39904	0.1765	0.0000	0.4957
ESP00069-010	ESP00069-024	40924	0.1762	0.0000	0.4957
ESP00069-004	ESP00069-016	40555	0.1775	0.0000	0.4956
ESP00069-004	ESP00069-021	42130	0.1793	0.0000	0.4956
ESP00069-019	ESP00069-020	41240	0.1785	0.0000	0.4956
ESP00069-020	ESP00069-025	41618	0.1795	0.0000	0.4956
ESP00069-005	ESP00069-017	40637	0.1792	0.0000	0.4955
ESP00069-015	ESP00069-019	39208	0.1760	0.0000	0.4955
ESP00069-017	ESP00069-019	40574	0.1785	0.0000	0.4955
ESP00069-017	ESP00069-020	40387	0.1788	0.0000	0.4955
ESP00069-017	ESP00069-021	41484	0.1798	0.0000	0.4955
ESP00069-003	ESP00069-020	38002	0.1760	0.0000	0.4954
ESP00069-010	ESP00069-017	41668	0.1794	0.0000	0.4954
ESP00069-015	ESP00069-021	40040	0.1774	0.0000	0.4954
ESP00069-002	ESP00069-008	40498	0.1700	0.0000	0.4953
ESP00069-004	ESP00069-005	41175	0.1787	0.0000	0.4953
ESP00069-003	ESP00069-015	36482	0.1739	0.0000	0.4952
ESP00069-015	ESP00069-017	38665	0.1770	0.0000	0.4952
ESP00069-003	ESP00069-017	37513	0.1764	0.0000	0.4951
ESP00069-007	ESP00069-008	41841	0.1720	0.0000	0.4951
ESP00069-016	ESP00069-017	39820	0.1772	0.0000	0.4951
TUR00100-002	TUR00100-025	32207	0.1630	0.0000	0.4951
ESP00069-004	ESP00069-020	40776	0.1782	0.0000	0.4950
ESP00069-015	ESP00069-024	37720	0.1738	0.0000	0.4950
TUR00100-003	TUR00218-015	34973	0.1624	0.0001	0.4949
ESP00069-017	ESP00069-025	40930	0.1787	0.0000	0.4948
ESP00069-020	ESP00069-024	39483	0.1756	0.0000	0.4948
ESP00069-017	ESP00069-024	38903	0.1756	0.0000	0.4947
TUR00100-002	TUR00100-003	35976	0.1632	0.0000	0.4947
TUR00100-025	TUR00218-015	32077	0.1623	0.0001	0.4947
ESP00069-004	ESP00069-017	40089	0.1783	0.0000	0.4946
ESP00069-004	ESP00069-015	38806	0.1762	0.0000	0.4945
ESP00069-004	ESP00069-024	39605	0.1756	0.0000	0.4945
ESP00069-003	ESP00069-018	30575	0.1700	0.0000	0.4943
ESP00069-015	ESP00069-018	30916	0.1706	0.0000	0.4941
TUR00100-002	TUR00218-015	33547	0.1625	0.0000	0.4941
TUR00100-003	TUR00100-025	32954	0.1620	0.0001	0.4940
ESP00069-018	ESP00069-021	32218	0.1717	0.0000	0.4939
ESP00069-018	ESP00069-019	31870	0.1716	0.0000	0.4938
ESP00069-018	ESP00069-024	31238	0.1704	0.0000	0.4938
ESP00069-010	ESP00069-018	32258	0.1715	0.0000	0.4937
ESP00069-005	ESP00069-018	31901	0.1718	0.0000	0.4936
ESP00069-018	ESP00069-025	32011	0.1715	0.0000	0.4934
ESP00069-017	ESP00069-018	31463	0.1715	0.0000	0.4933
ESP00069-004	ESP00069-018	31722	0.1711	0.0000	0.4931
ESP00069-016	ESP00069-018	31610	0.1714	0.0000	0.4931
ESP00069-018	ESP00069-020	31752	0.1715	0.0000	0.4929
TUR00100-002	TUR00100-007	19924	0.1554	0.0000	0.4922
ESP00379-008	ESP00379-014	35133	0.1754	0.0000	0.4919
TUR00100-003	TUR00100-007	19938	0.1553	0.0000	0.4917
TUR00100-007	TUR00100-025	19808	0.1551	0.0001	0.4905
TUR00100-007	TUR00218-015	19911	0.1550	0.0001	0.4905
