Pop	Fsylvatica_All	Fsylvatica_Random	Fsylvatica_Target
AUT00207	0.00375610559786562	0.00447707780075095	0.00308723818151706
DEU00071	0.00342937493646056	0.00407569311046126	0.00280399229328671
ESP00179	0.00312733792328666	0.00374913829103444	0.00254220790750467
ESP00225	0.0028294015972884	0.00337784281487857	0.00229933855103273
ESP00263	0.00334911151107562	0.00401916279627909	0.00270548822704646
FRA00029	0.00357914174642111	0.00426837234546733	0.00293368433503894
FRA00042	0.00327677861022402	0.00388191029530633	0.00272112829842056
FRA00045	0.00328630897722504	0.0039070195645867	0.00272479558969291
FRA00046	0.00340904547120046	0.00404610095968381	0.0028039715149066
ITA00178	0.00394287159437065	0.00472839255321552	0.00322440321741316
NOR00005	0.00309208840425952	0.00371302837993029	0.00251470916051306
ROU00077	0.00383018935219878	0.00460605355511427	0.00309160352954818
ROU00467	0.0037934580199711	0.00455693305027231	0.00307597145272039
SVN00047	0.00327492357313916	0.00386395154509306	0.00278451219761374
TUR00264	0.00429961448245375	0.00523012885540234	0.0035164465630949
All	0.00352455138332484	0.00421341825410633	0.0028938541770037
