Pop	Pabies_All_V1	Pabies_Random_V1	Pabies_Target_V1
AUT00032	0.00305154189138844	0.00310957392135675	0.0029543312222365
BIH00016	0.00334994016633656	0.00343276726275539	0.00321258820533283
DEU00103	0.00384758258456726	0.00397423333124831	0.00364167623615064
DEU00152	0.00390703849830272	0.00402053298194573	0.0037220758011336
FIN00010	0.00390085631946266	0.00398156551258287	0.00376713808698593
FIN00045	0.00395886882606261	0.00404759776781339	0.00381274426351723
FRA00083	0.00314734330971667	0.00327573374066193	0.00292622093943416
FRA00092	0.00362833667869342	0.00375121265219164	0.0034263322255464
ITA00014	0.00362022900563029	0.0037530869069849	0.00340339888826967
ITA00050	0.00335719585839613	0.00351273444336266	0.00307954679083949
ITA00260	0.00318424595750489	0.00325717116280158	0.00306218165494764
LTU00120	0.00398093224653729	0.00409108606268805	0.0037967074313767
ROU00058	0.00425534543206501	0.00438635636660433	0.00404300110635227
ROU00415	0.00374798516851911	0.00385755493152114	0.00356912527692099
SVN00002	0.00379404132084787	0.00391782580466231	0.00359281588254876
SVN00024	0.00378943089942706	0.00390774475926781	0.00359526902819768
All	0.00369568126075001	0.00380515479616681	0.00351471550546631
