Pop	Qsuber_multispecies_All__V1
ESP00046	0.0028029051479831
ESP00059	0.00265659374654465
ESP00080	0.00258997105357643
ESP00084	0.00252906608203666
ESP00096	0.00251956798334688
ESP00099	0.0024543608781587
ESP00163	0.00261786664565728
ESP00183	0.00286042993006495
ESP00218	0.00274842437889713
ESP00270	0.00266297904946011
ESP00288	0.00239575003801226
ESP00358	0.00251816673126186
ESP00372	0.00239586913010146
ESP00382	0.00240008385211653
ESP00394	0.00236531780284362
ITA00268	0.00274285161190715
All	0.00259997246531191
