ID1	ID2	N	N_IBS0	N_IBS1	N_IBS2	Concord	HomConc	HetConc
ESP00072-007	ESP00072-008	11396	0	24	11372	0.99789	1.00000	0.98247
ESP00072-007	ESP00072-009	11399	0	16	11383	0.99860	1.00000	0.98828
ESP00072-007	ESP00072-010	11388	0	36	11352	0.99684	1.00000	0.97397
ESP00072-008	ESP00072-009	11388	0	40	11348	0.99649	1.00000	0.97099
ESP00072-008	ESP00072-010	11376	0	27	11349	0.99763	1.00000	0.98041
ESP00072-009	ESP00072-010	11379	0	41	11338	0.99640	1.00000	0.97038
AUT00284-013	AUT00284-349	11377	0	30	11347	0.99736	1.00000	0.98384
ITA00045-017	ESP00141-011	11202	0	99	11103	0.99116	1.00000	0.97789
ITA00045-017	ESP00360-006	11199	0	93	11106	0.99170	1.00000	0.97921
ITA00045-017	ESP00141-004	11218	0	92	11126	0.99180	1.00000	0.97949
ITA00045-017	ESP00141-005	11214	0	85	11129	0.99242	1.00000	0.98103
ITA00045-017	ESP00360-001	11228	0	76	11152	0.99323	1.00000	0.98302
ITA00045-017	ESP00141-007	11230	0	81	11149	0.99279	1.00000	0.98191
ITA00045-017	ESP00141-008	11234	0	83	11151	0.99261	1.00000	0.98148
ITA00045-020	ITA00045-021	11045	0	27	11018	0.99756	1.00000	0.99381
ROU00189-007	ROU00189-008	11456	0	3	11453	0.99974	1.00000	0.99834
ESP00141-003	ESP00141-012	11461	0	6	11455	0.99948	1.00000	0.99764
ESP00141-003	ESP00141-013	11463	0	5	11458	0.99956	1.00000	0.99803
ESP00141-011	ESP00360-006	11280	0	24	11256	0.99787	1.00000	0.99460
ESP00141-011	ESP00141-004	11290	0	33	11257	0.99708	1.00000	0.99260
ESP00141-011	ESP00141-005	11281	0	29	11252	0.99743	1.00000	0.99349
ESP00141-011	ESP00360-001	11293	0	26	11267	0.99770	1.00000	0.99416
ESP00141-011	ESP00141-007	11302	0	24	11278	0.99788	1.00000	0.99461
ESP00141-011	ESP00141-008	11308	0	27	11281	0.99761	1.00000	0.99395
ESP00360-006	ESP00141-004	11295	0	34	11261	0.99699	1.00000	0.99238
ESP00360-006	ESP00141-005	11278	0	37	11241	0.99672	1.00000	0.99171
ESP00360-006	ESP00360-001	11291	0	28	11263	0.99752	1.00000	0.99371
ESP00360-006	ESP00141-007	11298	0	18	11280	0.99841	1.00000	0.99595
ESP00360-006	ESP00141-008	11306	0	26	11280	0.99770	1.00000	0.99417
ESP00141-004	ESP00141-005	11311	0	34	11277	0.99699	1.00000	0.99240
ESP00141-004	ESP00360-001	11317	0	30	11287	0.99735	1.00000	0.99328
ESP00141-004	ESP00141-007	11319	0	21	11298	0.99814	1.00000	0.99529
ESP00141-004	ESP00141-008	11319	0	20	11299	0.99823	1.00000	0.99552
ESP00141-012	ESP00141-013	11461	0	1	11460	0.99991	1.00000	0.99961
FRA00102-047	FRA00102-030	11434	0	16	11418	0.99860	1.00000	0.99299
ESP00073-022	ESP00073-023	11421	0	2	11419	0.99982	1.00000	0.99823
ESP00141-005	ESP00360-001	11312	0	16	11296	0.99859	1.00000	0.99641
ESP00141-005	ESP00141-007	11311	0	15	11296	0.99867	1.00000	0.99664
ESP00141-005	ESP00141-008	11313	0	23	11290	0.99797	1.00000	0.99485
ESP00360-001	ESP00141-007	11319	0	13	11306	0.99885	1.00000	0.99708
ESP00360-001	ESP00141-008	11329	0	10	11319	0.99912	1.00000	0.99776
ESP00141-007	ESP00141-008	11334	0	9	11325	0.99921	1.00000	0.99798
ESP00395-025	ESP00395-024	11440	0	10	11430	0.99913	1.00000	0.99445
ESP00141-003	ESP00141-001	11460	0	8	11452	0.99930	1.00000	0.99685
ESP00141-003	ESP00141-009	11459	0	8	11451	0.99930	1.00000	0.99685
ESP00141-003	ESP00141-010	11464	0	8	11456	0.99930	1.00000	0.99685
ESP00395-016	ESP00395-015	11446	0	8	11438	0.99930	1.00000	0.99605
ESP00141-012	ESP00141-001	11459	0	3	11456	0.99974	1.00000	0.99882
ESP00141-012	ESP00141-009	11457	0	3	11454	0.99974	1.00000	0.99882
ESP00141-012	ESP00141-010	11463	0	3	11460	0.99974	1.00000	0.99882
ESP00141-013	ESP00141-001	11462	0	1	11461	0.99991	1.00000	0.99961
ESP00141-013	ESP00141-009	11462	0	3	11459	0.99974	1.00000	0.99882
ESP00141-013	ESP00141-010	11466	0	1	11465	0.99991	1.00000	0.99961
ESP00141-006	ESP00141-002	11457	0	4	11453	0.99965	1.00000	0.99851
ESP00141-001	ESP00141-009	11457	0	0	11457	1.00000	1.00000	1.00000
ESP00141-001	ESP00141-010	11465	0	0	11465	1.00000	1.00000	1.00000
ESP00141-009	ESP00141-010	11462	0	0	11462	1.00000	1.00000	1.00000
ESP00395-006	ESP00395-005	11390	0	27	11363	0.99763	1.00000	0.98720
